MOLECULE,ROUTE,TECHNICAL_SPECIFICATIONS,ATC_CODE,_BRAND_CANDIDATE,_BRAND_CANDIDATE_N,_FDA_BRAND_N,_FDA_GENERIC_N,_GENERIC_FROM_BRAND,_GENERIC_BEST,_GENERIC_BASE,_ROUTE_N,_STRENGTHS,_FORMS,_SIG3
Haloperidol,Oral:,2 mg Tablet *Primary Health Care,N05AD01,,,,STREPTOKINASE,STREPTOKINASE,HALOPERIDOL,HALOPERIDOL,PO,['2MG'],['TABLET'],2MG|TABLET|PO
Haloperidol,Oral:,5 mg Tablet *Primary Health Care,N05AD01,,,,STREPTOKINASE,STREPTOKINASE,HALOPERIDOL,HALOPERIDOL,PO,['5MG'],['TABLET'],5MG|TABLET|PO
Haloperidol,Oral:,10 mg Tablet *Primary Health Care,N05AD01,,,,STREPTOKINASE,STREPTOKINASE,HALOPERIDOL,HALOPERIDOL,PO,['10MG'],['TABLET'],10MG|TABLET|PO
Haloperidol,Inj.:,5 mg/mL in 1 mL Ampul (IM) *Primary Health Care,N05AD01,,,,STREPTOKINASE,STREPTOKINASE,HALOPERIDOL,HALOPERIDOL,INJ.,"['1ML', '5MG']",['AMPUL'],"1ML,5MG|AMPUL|INJ."
Haloperidol,Inj.:,50 mg/mL (as Decanoate) in 1 mL Ampul (IM)(Oily) *Primary Health Care,N05AD01,,,,STREPTOKINASE,STREPTOKINASE,HALOPERIDOL,HALOPERIDOL,INJ.,"['1ML', '50MG']",['AMPUL'],"1ML,50MG|AMPUL|INJ."
Halothane,Inhalation:,in 250 mL Bottle ,N01AB01,,,,STREPTOKINASE,STREPTOKINASE,HALOTHANE,HALOTHANE,INH,['250ML'],['UNSPECIFIED'],250ML|UNSPECIFIED|INH
Hemophilus Influenzae type B Conjugated (Hib) Vaccine,Inj.:,10 mcg/0.5 mL in 1 Dose vial + 0.5 mL diluent with tetanus protein (IM) *Primary Health Care,J07AG01 ,,,,STREPTOKINASE,STREPTOKINASE,HEMOPHILUS INFLUENZAE TYPE B CONJUGATED (HIB) VACCINE,HEMOPHILUS INFLUENZAE TYPE B CONJUGATED (HIB) VACCINE,INJ.,"['0.5ML', '10MCG/0.5ML']",['VIAL'],"0.5ML,10MCG/0.5ML|VIAL|INJ."
Hemophilus Influenzae type B Conjugated (Hib) Vaccine,Inj.:,10 mcg/0.5 mL Vial + 0.9% sodium chloride with diptheria CRM 197 protein (IM) *Primary Health Care,J07AG01 ,,,,STREPTOKINASE,STREPTOKINASE,HEMOPHILUS INFLUENZAE TYPE B CONJUGATED (HIB) VACCINE,HEMOPHILUS INFLUENZAE TYPE B CONJUGATED (HIB) VACCINE,INJ.,"['0.9%', '10MCG/0.5ML']",['VIAL'],"0.9%,10MCG/0.5ML|VIAL|INJ."
Hemophilus Influenzae type B Conjugated (Hib) Vaccine,Inj.:,in 0.5 mL Vial + Meningococcal protein (IM) *Primary Health Care,J07AG01 ,,,,STREPTOKINASE,STREPTOKINASE,HEMOPHILUS INFLUENZAE TYPE B CONJUGATED (HIB) VACCINE,HEMOPHILUS INFLUENZAE TYPE B CONJUGATED (HIB) VACCINE,INJ.,['0.5ML'],['VIAL'],0.5ML|VIAL|INJ.
Heparin,Inj.:,"1000 IU/mL (as Sodium) in 5 mL Vial (IV infusion, SC) (Bovine origin) (Unfractionated) ",C05BA03,,,,STREPTOKINASE,STREPTOKINASE,HEPARIN,HEPARIN,INJ.,"['1000IU', '5ML']",['VIAL'],"1000IU,5ML|VIAL|INJ."
Heparin,Inj.:,"5000 IU/mL (as Sodium) in 5 mL Vial (IV infusion, SC) (Bovine origin) (Unfractionated) ",C05BA03,,,,STREPTOKINASE,STREPTOKINASE,HEPARIN,HEPARIN,INJ.,"['5000IU', '5ML']",['VIAL'],"5000IU,5ML|VIAL|INJ."
Hepatitis A Inactivated Vaccine,Inj.:,Viral antigen not less than 720 EU  in 0.5 mL Monodose vial (IM) (Junior) ,J07BC02,,,,STREPTOKINASE,STREPTOKINASE,HEPATITIS A INACTIVATED VACCINE,HEPATITIS A INACTIVATED VACCINE,INJ.,['0.5ML'],['VIAL'],0.5ML|VIAL|INJ.
Hepatitis A Inactivated Vaccine,Inj.:,Viral antigen not less than 1440 EU  in 1 mL Monodose vial (IM) (Adult) ,J07BC02,,,,STREPTOKINASE,STREPTOKINASE,HEPATITIS A INACTIVATED VACCINE,HEPATITIS A INACTIVATED VACCINE,INJ.,['1ML'],['VIAL'],1ML|VIAL|INJ.
Hepatitis A Inactivated Vaccine,Inj.:,80 units/0.5 mL Pre-filled syringe (IM) (Pediatric) (Single dose) (GBM strain) ,J07BC02,,,,STREPTOKINASE,STREPTOKINASE,HEPATITIS A INACTIVATED VACCINE,HEPATITIS A INACTIVATED VACCINE,INJ.,['0.5ML'],['PRE-FILLED SYRINGE'],0.5ML|PRE-FILLED SYRINGE|INJ.
Hepatitis A Inactivated Vaccine,Inj.:,160 units/0.5 mL Pre-filled syringe (IM) (Pediatric) (Single dose) (GBM strain) ,J07BC02,,,,STREPTOKINASE,STREPTOKINASE,HEPATITIS A INACTIVATED VACCINE,HEPATITIS A INACTIVATED VACCINE,INJ.,['0.5ML'],['PRE-FILLED SYRINGE'],0.5ML|PRE-FILLED SYRINGE|INJ.
Hepatitis B Immunoglobulin,Inj.:,in 0.5 mL Vial (IM) (Human) ,J06BB04,,,,STREPTOKINASE,STREPTOKINASE,HEPATITIS B IMMUNOGLOBULIN,HEPATITIS B IMMUNOGLOBULIN,INJ.,['0.5ML'],['VIAL'],0.5ML|VIAL|INJ.
Hepatitis B Immunoglobulin,Inj.:,in 1 mL Vial (IM) (Human) ,J06BB04,,,,STREPTOKINASE,STREPTOKINASE,HEPATITIS B IMMUNOGLOBULIN,HEPATITIS B IMMUNOGLOBULIN,INJ.,['1ML'],['VIAL'],1ML|VIAL|INJ.
Hepatitis B Immunoglobulin,Inj.:,in 2 mL Vial (IM) (Human) ,J06BB04,,,,STREPTOKINASE,STREPTOKINASE,HEPATITIS B IMMUNOGLOBULIN,HEPATITIS B IMMUNOGLOBULIN,INJ.,['2ML'],['VIAL'],2ML|VIAL|INJ.
Hepatitis B Vaccine,Inj.:,"10 mcg/0.5 mL Monodose vial (IM) (Pediatric) (Recombinant DNA)
(N.B.: Formulations of different manufacturers are of equal or similar immunogenicity. Follow strictly the recommended dose of each manufacturer) *Primary Health Care",J07BC01,,,,STREPTOKINASE,STREPTOKINASE,HEPATITIS B VACCINE,HEPATITIS B VACCINE,INJ.,['10MCG/0.5ML'],['VIAL'],10MCG/0.5ML|VIAL|INJ.
Hepatitis B Vaccine,Inj.:,"10 mcg/0.5 mL x 10 dose, in 5 mL Vial (IM) (Recombinant DNA)
(N.B.: Formulations of different manufacturers are of equal or similar immunogenicity. Follow strictly the recommended dose of each manufacturer) *Primary Health Care",J07BC01,,,,STREPTOKINASE,STREPTOKINASE,HEPATITIS B VACCINE,HEPATITIS B VACCINE,INJ.,"['10MCG/0.5ML', '5ML']",['VIAL'],"10MCG/0.5ML,5ML|VIAL|INJ."
Hepatitis B Vaccine,Inj.:,"20 mcg/mL Monodose vial (IM) (Adult) (Recombinant DNA) (For more than 10 years old)
(N.B.: Formulations of different manufacturers are of equal or similar immunogenicity. Follow strictly the recommended dose of each manufacturer) *Primary Health Care",J07BC01,,,,STREPTOKINASE,STREPTOKINASE,HEPATITIS B VACCINE,HEPATITIS B VACCINE,INJ.,['20MCG'],['VIAL'],20MCG|VIAL|INJ.
Hepatitis B Vaccine,Inj.:,"20 mcg/mL x 10 dose, in 10 mL Vial (IM) (Adult) (Recombinant DNA)
(N.B.: Formulations of different manufacturers are of equal or similar immunogenicity. Follow strictly the recommended dose of each manufacturer) *Primary Health Care",J07BC01,,,,STREPTOKINASE,STREPTOKINASE,HEPATITIS B VACCINE,HEPATITIS B VACCINE,INJ.,"['10ML', '20MCG']",['VIAL'],"10ML,20MCG|VIAL|INJ."
Human Papillomavirus Vaccine,Inj.:,"Suspension in 0.5 mL Glass pre-filled syringe (IM) (Quadrivalent - Types 6, 11, 16, 18) (Recombinant) ",J07BM03,,,,STREPTOKINASE,STREPTOKINASE,HUMAN PAPILLOMAVIRUS VACCINE,HUMAN PAPILLOMAVIRUS VACCINE,INJ.,['0.5ML'],"['PRE-FILLED SYRINGE', 'SUSPENSION']","0.5ML|PRE-FILLED SYRINGE,SUSPENSION|INJ."
Human Papillomavirus Vaccine,Inj.:,"in 0.5 mL Glass vial (IM) (Quadrivalent - Types 6, 11, 16, 18) (Recombinant) ",J07BM03,,,,STREPTOKINASE,STREPTOKINASE,HUMAN PAPILLOMAVIRUS VACCINE,HUMAN PAPILLOMAVIRUS VACCINE,INJ.,['0.5ML'],['VIAL'],0.5ML|VIAL|INJ.
Human Papillomavirus Vaccine,Inj.:,"Suspension in 0.5 mL Pre-filled syringe (Type 1 glass) with plunger stopper (rubber butyl) and sterile needle (Types 16 and 18) (Recombinant, AS04 Adjuvanted) ",J07BM03,,,,STREPTOKINASE,STREPTOKINASE,HUMAN PAPILLOMAVIRUS VACCINE,HUMAN PAPILLOMAVIRUS VACCINE,INJ.,"['0.5ML', '1G']","['PRE-FILLED SYRINGE', 'SUSPENSION']","0.5ML,1G|PRE-FILLED SYRINGE,SUSPENSION|INJ."
Human Papillomavirus Vaccine,Inj.:,"0.5 mL in 3 mL Monodose vial (Type 1 glass) (Types 16 and 18) (Recombinant, AS04 Adjuvanted) ",J07BM03,,,,STREPTOKINASE,STREPTOKINASE,HUMAN PAPILLOMAVIRUS VACCINE,HUMAN PAPILLOMAVIRUS VACCINE,INJ.,"['0.5ML', '1G', '3ML']",['VIAL'],"0.5ML,1G,3ML|VIAL|INJ."
Human Papillomavirus Vaccine,Inj.:,"1 mL in 3 mL Glass vial (Types 16 and 18) (Recombinant, AS04 Adjuvanted) ",J07BM03,,,,STREPTOKINASE,STREPTOKINASE,HUMAN PAPILLOMAVIRUS VACCINE,HUMAN PAPILLOMAVIRUS VACCINE,INJ.,"['1ML', '3ML']",['VIAL'],"1ML,3ML|VIAL|INJ."
Hydralazine,Oral:,25 mg (as Hydrochloride) Tablet ,C02DB02,,,,STREPTOKINASE,STREPTOKINASE,HYDRALAZINE,HYDRALAZINE,PO,['25MG'],['TABLET'],25MG|TABLET|PO
Hydralazine,Oral:,50 mg (as Hydrochloride) Tablet ,C02DB02,,,,STREPTOKINASE,STREPTOKINASE,HYDRALAZINE,HYDRALAZINE,PO,['50MG'],['TABLET'],50MG|TABLET|PO
Hydralazine,Inj.:,"20 mg/mL (as Hydrochloride) in 1 mL Ampul (IM, IV) *Primary Health Care",C02DB02,,,,STREPTOKINASE,STREPTOKINASE,HYDRALAZINE,HYDRALAZINE,INJ.,"['1ML', '20MG']",['AMPUL'],"1ML,20MG|AMPUL|INJ."
Hydrochlorothiazide,Oral:,12.5 mg Tablet *Primary Health Care,C03AA03,,,,STREPTOKINASE,STREPTOKINASE,HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE,PO,['12.5MG'],['TABLET'],12.5MG|TABLET|PO
Hydrochlorothiazide,Oral:,25 mg Tablet *Primary Health Care,C03AA03,,,,STREPTOKINASE,STREPTOKINASE,HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE,PO,['25MG'],['TABLET'],25MG|TABLET|PO
Hydrocortisone,Oral:,5 mg Tablet *Primary Health Care,D07AA02,,,,STREPTOKINASE,STREPTOKINASE,HYDROCORTISONE,HYDROCORTISONE,PO,['5MG'],['TABLET'],5MG|TABLET|PO
Hydrocortisone,Oral:,20 mg Tablet *Primary Health Care,D07AA02,,,,STREPTOKINASE,STREPTOKINASE,HYDROCORTISONE,HYDROCORTISONE,PO,['20MG'],['TABLET'],20MG|TABLET|PO
Hydrocortisone,Inj.:,"50 mg/mL (as Sodium succinate) in 2 mL Vial (IM, IV) *Primary Health Care",D07AA02,,,,STREPTOKINASE,STREPTOKINASE,HYDROCORTISONE,HYDROCORTISONE,INJ.,"['2ML', '50MG']",['VIAL'],"2ML,50MG|VIAL|INJ."
Hydrocortisone,Inj.:,125 mg/mL (as Sodium succinate) in 2 mL Vial (IV) *Primary Health Care,D07AA02,,,,STREPTOKINASE,STREPTOKINASE,HYDROCORTISONE,HYDROCORTISONE,INJ.,"['125MG', '2ML']",['VIAL'],"125MG,2ML|VIAL|INJ."
Hydrocortisone,Inj.:,100 mg (as Sodium succinate) Powder Vial (IV) *Primary Health Care,D07AA02,,,,STREPTOKINASE,STREPTOKINASE,HYDROCORTISONE,HYDROCORTISONE,INJ.,['100MG'],['VIAL'],100MG|VIAL|INJ.
Hydrocortisone,Inj.:,250 mg (as Sodium succinate) Powder Vial (IV) *Primary Health Care,D07AA02,,,,STREPTOKINASE,STREPTOKINASE,HYDROCORTISONE,HYDROCORTISONE,INJ.,['250MG'],['VIAL'],250MG|VIAL|INJ.
Hydrocortisone,Topical:,1% Cream/Ointment in 5 g Tube *Primary Health Care,D07AA02,,,,STREPTOKINASE,STREPTOKINASE,HYDROCORTISONE,HYDROCORTISONE,TOP,"['1%', '5G']","['CREAM', 'OINTMENT']","1%,5G|CREAM,OINTMENT|TOP"
Hydrocortisone,Topical:,1% Cream/Ointment in 10 g Tube ,D07AA02,,,,STREPTOKINASE,STREPTOKINASE,HYDROCORTISONE,HYDROCORTISONE,TOP,"['1%', '10G']","['CREAM', 'OINTMENT']","1%,10G|CREAM,OINTMENT|TOP"
Hydrocortisone,Topical:,1% Lotion in 25 mL Bottle ,D07AA02,,,,STREPTOKINASE,STREPTOKINASE,HYDROCORTISONE,HYDROCORTISONE,TOP,"['1%', '25ML']",['UNSPECIFIED'],"1%,25ML|UNSPECIFIED|TOP"
Hydrocortisone,Topical:,2.5% Lotion in 25 mL Bottle ,D07AA02,,,,STREPTOKINASE,STREPTOKINASE,HYDROCORTISONE,HYDROCORTISONE,TOP,"['2.5%', '25ML']",['UNSPECIFIED'],"2.5%,25ML|UNSPECIFIED|TOP"
Hydrocortisone,Inj.:,125 mg/mL (as Sodium succinate) in 4 mL Vial (IV) *Primary Health Care,H02AB09 ,,,,STREPTOKINASE,STREPTOKINASE,HYDROCORTISONE,HYDROCORTISONE,INJ.,"['125MG', '4ML']",['VIAL'],"125MG,4ML|VIAL|INJ."
Hydrogen Peroxide,Topical:,3% Solution in 60 mL ,D11AX25,,,,STREPTOKINASE,STREPTOKINASE,HYDROGEN PEROXIDE,HYDROGEN PEROXIDE,TOP,"['3%', '60ML']",['SOLUTION'],"3%,60ML|SOLUTION|TOP"
Hydrogen Peroxide,Topical:,3% Solution in 120 mL *Primary Health Care,D11AX25,,,,STREPTOKINASE,STREPTOKINASE,HYDROGEN PEROXIDE,HYDROGEN PEROXIDE,TOP,"['120ML', '3%']",['SOLUTION'],"120ML,3%|SOLUTION|TOP"
Hydroxychloroquine,Oral:,200 mg (as Sulfate) Tablet ,P01BA02,,,,STREPTOKINASE,STREPTOKINASE,HYDROXYCHLOROQUINE,HYDROXYCHLOROQUINE,PO,['200MG'],['TABLET'],200MG|TABLET|PO
Hydroxyethyl Starch,Inj.:,6%  Solution in 250 mL Bottle (IV infusion) ,B05AA07,,,,STREPTOKINASE,STREPTOKINASE,HYDROXYETHYL STARCH,HYDROXYETHYL STARCH,INJ.,"['250ML', '6%']",['SOLUTION'],"250ML,6%|SOLUTION|INJ."
Hydroxyethyl Starch,Inj.:,6% Solution in 500 mL Bottle (IV infusion) ,B05AA07,,,,STREPTOKINASE,STREPTOKINASE,HYDROXYETHYL STARCH,HYDROXYETHYL STARCH,INJ.,"['500ML', '6%']",['SOLUTION'],"500ML,6%|SOLUTION|INJ."
Hydroxyurea,Oral:,500 mg Capsule ,L01XX05,,,,STREPTOKINASE,STREPTOKINASE,HYDROXYUREA,HYDROXYUREA,PO,['500MG'],['CAPSULE'],500MG|CAPSULE|PO
Hydroxyzine,Oral:,25 mg (as Dihydrochloride) Tablet ,N05BB01,,,,STREPTOKINASE,STREPTOKINASE,HYDROXYZINE,HYDROXYZINE,PO,['25MG'],['TABLET'],25MG|TABLET|PO
Hydroxyzine,Oral:,2 mg/mL (as Dihydrochloride) Syrup in 100 mL ,N05BB01,,,,STREPTOKINASE,STREPTOKINASE,HYDROXYZINE,HYDROXYZINE,PO,"['100ML', '2MG']",['SYRUP'],"100ML,2MG|SYRUP|PO"
Hyoscine ,Oral:,10 mg (as N-butyl bromide) Tablet *Primary Health Care,A03BA03,,,,STREPTOKINASE,STREPTOKINASE,HYOSCINE,HYOSCINE,PO,['10MG'],['TABLET'],10MG|TABLET|PO
Hyoscine ,Oral:,5 mg/5 mL (as N-butyl bromide) Syrup in 60 mL *Primary Health Care,A03BA03,,,,STREPTOKINASE,STREPTOKINASE,HYOSCINE,HYOSCINE,PO,"['5MG/5ML', '60ML']",['SYRUP'],"5MG/5ML,60ML|SYRUP|PO"
Hyoscine ,Inj.:,"20 mg/mL (as N-butyl bromide) in 1 mL Ampul (IM, IV, SC) *Primary Health Care",A03BA03,,,,STREPTOKINASE,STREPTOKINASE,HYOSCINE,HYOSCINE,INJ.,"['1ML', '20MG']",['AMPUL'],"1ML,20MG|AMPUL|INJ."
Hypertonic lactate,Inj.:,"Solution for IV infusion in 250 mL containing:

Sodium Lactate Solution (50%) = 28.250 g (equal with 14.125 Solution Lactate)
Potassium Chloride = 0.075 g
Calcium Chloride 2H20 (100%) = 0.05 g
Water for injection = q.s.

Composed of:
Na+ = 504.15 mmol/L
K+ = 40.2 mmol/L
Ca++ = 1.36 mmol/L
Cl- = 6.74 mmol/L
Lactate = 504.15 mmol/L ",Not available,,,,STREPTOKINASE,STREPTOKINASE,HYPERTONIC LACTATE,HYPERTONIC LACTATE,INJ.,"['0.05G', '0.075G', '1.36MMOL', '100%', '250ML', '28.250G', '40.2MMOL', '50%', '504.15MMOL', '6.74MMOL']",['SOLUTION'],"0.05G,0.075G,1.36MMOL,100%,250ML,28.250G,40.2MMOL,50%,504.15MMOL,6.74MMOL|SOLUTION|INJ."
Hypertonic Saline Solution ,,3% (For diagnosis of pulmonary tuberculosis) ,Not available,,,,STREPTOKINASE,STREPTOKINASE,HYPERTONIC SALINE SOLUTION,HYPERTONIC SALINE SOLUTION,,['3%'],['UNSPECIFIED'],3%|UNSPECIFIED
Hypromellose,Ophthalmic:,5 mg/mL Solution in 10 mL (Eye drops) ,S01KA02,,,,STREPTOKINASE,STREPTOKINASE,HYPROMELLOSE,HYPROMELLOSE,OPHTHALMIC,"['10ML', '5MG']","['DROPS', 'SOLUTION']","10ML,5MG|DROPS,SOLUTION|OPHTHALMIC"
Hypromellose,Ophthalmic:,5 mg/mL Solution in 15 mL (Eye drops) ,S01KA02,,,,STREPTOKINASE,STREPTOKINASE,HYPROMELLOSE,HYPROMELLOSE,OPHTHALMIC,"['15ML', '5MG']","['DROPS', 'SOLUTION']","15ML,5MG|DROPS,SOLUTION|OPHTHALMIC"
Hypromellose,Ophthalmic:,10 mg/mL Solution in 10 mL (Eye drops) ,S01KA02,,,,STREPTOKINASE,STREPTOKINASE,HYPROMELLOSE,HYPROMELLOSE,OPHTHALMIC,"['10MG', '10ML']","['DROPS', 'SOLUTION']","10MG,10ML|DROPS,SOLUTION|OPHTHALMIC"
Hypromellose,Ophthalmic:,10 mg/mL Solution in 15 mL (Eye drops) ,S01KA02,,,,STREPTOKINASE,STREPTOKINASE,HYPROMELLOSE,HYPROMELLOSE,OPHTHALMIC,"['10MG', '15ML']","['DROPS', 'SOLUTION']","10MG,15ML|DROPS,SOLUTION|OPHTHALMIC"
Hypromellose,Ophthalmic:,0.3% Solution in 10 mL Bottle ,S01KA02,,,,STREPTOKINASE,STREPTOKINASE,HYPROMELLOSE,HYPROMELLOSE,OPHTHALMIC,"['0.3%', '10ML']",['SOLUTION'],"0.3%,10ML|SOLUTION|OPHTHALMIC"
Ibuprofen,Oral:,200 mg Capsule *Primary Health Care,M01AE01,,,,STREPTOKINASE,STREPTOKINASE,IBUPROFEN,IBUPROFEN,PO,['200MG'],['CAPSULE'],200MG|CAPSULE|PO
Ibuprofen,Oral:,400 mg Capsule *Primary Health Care,M01AE01,,,,STREPTOKINASE,STREPTOKINASE,IBUPROFEN,IBUPROFEN,PO,['400MG'],['CAPSULE'],400MG|CAPSULE|PO
Ibuprofen,Oral:,100 mg/5 mL Syrup/Suspension in 60 mL *Primary Health Care,M01AE01,,,,STREPTOKINASE,STREPTOKINASE,IBUPROFEN,IBUPROFEN,PO,"['100MG/5ML', '60ML']","['SYRUP', 'SUSPENSION']","100MG/5ML,60ML|SUSPENSION,SYRUP|PO"
Ibuprofen,Oral:,200 mg/5 mL Suspension in 60 mL ,M01AE01,,,,STREPTOKINASE,STREPTOKINASE,IBUPROFEN,IBUPROFEN,PO,"['200MG/5ML', '60ML']",['SUSPENSION'],"200MG/5ML,60ML|SUSPENSION|PO"
Idarubicin,Inj.:,5 mg (as Hydrochloride) Powder Vial (IV) ,L01DB06,,,,STREPTOKINASE,STREPTOKINASE,IDARUBICIN,IDARUBICIN,INJ.,['5MG'],['VIAL'],5MG|VIAL|INJ.
Ifosfamide,Inj.:,1 g Powder Vial (IV Infusion) ,L01AA06,,,,STREPTOKINASE,STREPTOKINASE,IFOSFAMIDE,IFOSFAMIDE,INJ.,['1G'],['VIAL'],1G|VIAL|INJ.
Ifosfamide,Inj.:,2 g Powder Vial (IV Infusion) ,L01AA06,,,,STREPTOKINASE,STREPTOKINASE,IFOSFAMIDE,IFOSFAMIDE,INJ.,['2G'],['VIAL'],2G|VIAL|INJ.
Imatinib,Inj.:,100 mg (as Mesilate) Tablet ,L01EA01,,,,STREPTOKINASE,STREPTOKINASE,IMATINIB,IMATINIB,INJ.,['100MG'],['TABLET'],100MG|TABLET|INJ.
Imatinib,Inj.:,400 mg (as Mesilate) Tablet ,L01EA01,,,,STREPTOKINASE,STREPTOKINASE,IMATINIB,IMATINIB,INJ.,['400MG'],['TABLET'],400MG|TABLET|INJ.
Imiglucerase,Inj.:,400 IU Powder in 20 mL Vial (IV Infusion) ,A16AB02,,,,STREPTOKINASE,STREPTOKINASE,IMIGLUCERASE,IMIGLUCERASE,INJ.,"['20ML', '400IU']",['VIAL'],"20ML,400IU|VIAL|INJ."
Imiquinod,Topical:,5% Cream Aluminum foil sachet ,D06BB10,,,,STREPTOKINASE,STREPTOKINASE,IMIQUINOD,IMIQUINOD,TOP,['5%'],"['CREAM', 'SACHET']","5%|CREAM,SACHET|TOP"
"Immunoglobulin Normal, Human (IGIM)",Inj.:,160 mg/mL in 2 mL Vial (IM) ,J06BA01,,,,STREPTOKINASE,STREPTOKINASE,IMMUNOGLOBULIN NORMAL HUMAN (IGIM),IMMUNOGLOBULIN NORMAL HUMAN (IGIM),INJ.,"['160MG', '2ML']",['VIAL'],"160MG,2ML|VIAL|INJ."
"Immunoglobulin Normal, Human (IGIM)",Inj.:,160 mg/mL in 5 mL Vial (IM) ,J06BA01,,,,STREPTOKINASE,STREPTOKINASE,IMMUNOGLOBULIN NORMAL HUMAN (IGIM),IMMUNOGLOBULIN NORMAL HUMAN (IGIM),INJ.,"['160MG', '5ML']",['VIAL'],"160MG,5ML|VIAL|INJ."
"Immunoglobulin Normal, Human (IGIM)",Inj.:,160 mg/mL in 10 mL Vial (IM) ,J06BA01,,,,STREPTOKINASE,STREPTOKINASE,IMMUNOGLOBULIN NORMAL HUMAN (IGIM),IMMUNOGLOBULIN NORMAL HUMAN (IGIM),INJ.,"['10ML', '160MG']",['VIAL'],"10ML,160MG|VIAL|INJ."
"Immunoglobulin Normal, Human (IGIV)",Inj.:,50 mg/mL in 10 mL Vial (IV) ,J06BA02,,,,STREPTOKINASE,STREPTOKINASE,IMMUNOGLOBULIN NORMAL HUMAN (IGIV),IMMUNOGLOBULIN NORMAL HUMAN (IGIV),INJ.,"['10ML', '50MG']",['VIAL'],"10ML,50MG|VIAL|INJ."
"Immunoglobulin Normal, Human (IGIV)",Inj.:,50 mg/mL in 20 mL Vial (IV) ,J06BA02,,,,STREPTOKINASE,STREPTOKINASE,IMMUNOGLOBULIN NORMAL HUMAN (IGIV),IMMUNOGLOBULIN NORMAL HUMAN (IGIV),INJ.,"['20ML', '50MG']",['VIAL'],"20ML,50MG|VIAL|INJ."
"Immunoglobulin Normal, Human (IGIV)",Inj.:,50 mg/mL in 50 mL Vial (IV) ,J06BA02,,,,STREPTOKINASE,STREPTOKINASE,IMMUNOGLOBULIN NORMAL HUMAN (IGIV),IMMUNOGLOBULIN NORMAL HUMAN (IGIV),INJ.,"['50MG', '50ML']",['VIAL'],"50MG,50ML|VIAL|INJ."
"Immunoglobulin Normal, Human (IGIV)",Inj.:,50 mg/mL in 100 mL Vial (IV) ,J06BA02,,,,STREPTOKINASE,STREPTOKINASE,IMMUNOGLOBULIN NORMAL HUMAN (IGIV),IMMUNOGLOBULIN NORMAL HUMAN (IGIV),INJ.,"['100ML', '50MG']",['VIAL'],"100ML,50MG|VIAL|INJ."
"Immunoglobulin Normal, Human (IGIV)",Inj.:,50 mg/mL in 200 mL Vial (IV) ,J06BA02,,,,STREPTOKINASE,STREPTOKINASE,IMMUNOGLOBULIN NORMAL HUMAN (IGIV),IMMUNOGLOBULIN NORMAL HUMAN (IGIV),INJ.,"['200ML', '50MG']",['VIAL'],"200ML,50MG|VIAL|INJ."
"Immunoglobulin Normal, Human (IGIV)",Inj.:,Freeze-dried powder in 1 g Bottle + 33 mL reconstitution fluid (IV) ,J06BA02,,,,STREPTOKINASE,STREPTOKINASE,IMMUNOGLOBULIN NORMAL HUMAN (IGIV),IMMUNOGLOBULIN NORMAL HUMAN (IGIV),INJ.,"['1G', '33ML']",['UNSPECIFIED'],"1G,33ML|UNSPECIFIED|INJ."
"Immunoglobulin Normal, Human (IGIV)",Inj.:,Freeze-dried powder in 1 g Bottle + 50 mL reconstitution fluid (IV) ,J06BA02,,,,STREPTOKINASE,STREPTOKINASE,IMMUNOGLOBULIN NORMAL HUMAN (IGIV),IMMUNOGLOBULIN NORMAL HUMAN (IGIV),INJ.,"['1G', '50ML']",['UNSPECIFIED'],"1G,50ML|UNSPECIFIED|INJ."
"Immunoglobulin Normal, Human (IGIV)",Inj.:,Freeze-dried powder in 2.5 g Bottle + 100 mL reconstitution fluid (IV) ,J06BA02,,,,STREPTOKINASE,STREPTOKINASE,IMMUNOGLOBULIN NORMAL HUMAN (IGIV),IMMUNOGLOBULIN NORMAL HUMAN (IGIV),INJ.,"['100ML', '2.5G']",['UNSPECIFIED'],"100ML,2.5G|UNSPECIFIED|INJ."
"Immunoglobulin Normal, Human (IGIV)",Inj.:,Freeze-dried powder in 5 g Bottle + 100 mL diluent vial (IV) ,J06BA02,,,,STREPTOKINASE,STREPTOKINASE,IMMUNOGLOBULIN NORMAL HUMAN (IGIV),IMMUNOGLOBULIN NORMAL HUMAN (IGIV),INJ.,"['100ML', '5G']",['VIAL'],"100ML,5G|VIAL|INJ."
"Immunoglobulin Normal, Human (IGIV)",Inj.:,Freeze-dried powder in 10 g Bottle + 260 mL diluent vial (IV) ,J06BA02,,,,STREPTOKINASE,STREPTOKINASE,IMMUNOGLOBULIN NORMAL HUMAN (IGIV),IMMUNOGLOBULIN NORMAL HUMAN (IGIV),INJ.,"['10G', '260ML']",['VIAL'],"10G,260ML|VIAL|INJ."
Inactivated Polio Vaccine,Inj.:,"0.5 mL/dose Suspension for injection in 5 mL Multidose vial (IM, SC) (Types 1, 2, and 3) ",J07CA02,,,,STREPTOKINASE,STREPTOKINASE,INACTIVATED POLIO VACCINE,INACTIVATED POLIO VACCINE,INJ.,"['0.5ML', '5ML']","['SUSPENSION', 'VIAL']","0.5ML,5ML|SUSPENSION,VIAL|INJ."
